fingerprint, ipaddr, port
000C351F86033654A82D9FD6AC3B178F44E236BE, 5.196.8.113, 9001
000C351F86033654A82D9FD6AC3B178F44E236BE, 2001:41d0:404:300::dd2, 9001
0011BD2485AD45D984EC4159C88FC066E5E3300E, 162.247.74.201, 443
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941, 95.111.230.178, 443
00283B5564E3072DCDDAB31D6EF622DD49BF524F, 195.15.242.99, 9001
00283B5564E3072DCDDAB31D6EF622DD49BF524F, 2001:1600:10:100::201, 9001
0036FA36AB435FD5D0F640626636867EBFB72C68, 185.220.101.33, 10133
0036FA36AB435FD5D0F640626636867EBFB72C68, 2a0b:f4c2:2::33, 10133
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1, 51.15.75.120, 444
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1, 2001:bc8:1860:607::1, 444
005ED97213F725867E422B8DC0443361BBB24E3C, 104.244.79.75, 443
005ED97213F725867E422B8DC0443361BBB24E3C, 2605:6400:30:fb10:d07b:edfd:2c84:bb4a, 443
005F829917C13B46D2FF5DC3228DE442C67B4D50, 68.97.244.129, 9050
00654113959763F653C92AFF078A7EC3A7BBD2D9, 174.128.250.165, 80
0077640E103A829BF8228D42F95818DAD1E9D84C, 179.43.159.78, 9001
0081AE534FC53801CECC93179240D73348DA47BE, 94.103.124.121, 9000
0081AE534FC53801CECC93179240D73348DA47BE, 2a05:b0c7:696c::1, 9000
00A39BF4B61C1702AB6095A7AA4EDB084BD6CFD1, 145.239.93.126, 443
00A39BF4B61C1702AB6095A7AA4EDB084BD6CFD1, 2001:41d0:601:1100::6648, 443
00B57BF614F7ED3051073B5D4526FF0B23AF217B, 158.174.145.139, 9001
00B57BF614F7ED3051073B5D4526FF0B23AF217B, 2001:9b1:403c:0:ffff:d3da:5c99:8455, 9001
00CC3A3D92C33E171BBDAEACC4601173BFA24150, 45.134.225.36, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 89.236.112.100, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 2001:40e8:0:f090::100, 443
00D2CE3C2153EA09786F2105F26B138CF759424F, 107.155.81.178, 443
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92, 5.9.56.249, 4080
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92, 2a01:4f8:161:52cb::2, 4080
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4, 116.203.50.182, 8080
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4, 2a01:4f8:1c1c:b16b::1, 8080
00E810DD83D1B76D12ED69BC2D3FEBD79F800378, 51.222.31.141, 443
00EEFC60C571929282A0FEBB909D5893BE03787C, 131.153.152.170, 443
00F0586A35B4FF15F3F1F77A8A6DAC9C6EDC4724, 173.52.94.197, 9004
00F1F247B391B84CB6C221720BCBFC0DFDB91117, 212.227.74.176, 9001
0111BA9B604669E636FFD5B503F382A4B7AD6E80, 185.195.71.244, 443
013ABAED8F4CDB677BE0B5212E4B2583B86035EE, 45.129.182.225, 443
013ABAED8F4CDB677BE0B5212E4B2583B86035EE, 2a03:4000:47:631:a437:b1ff:fe5c:74a2, 443
013AD81926572519EBCB7048E78462B5E9F1319D, 37.114.35.73, 9001
014326416058DCFD0965167026CBEF647409A000, 5.42.66.6, 443
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD, 78.142.18.219, 444
0165267F20391424CE5AEA316A7C6372C0EEF198, 51.89.153.112, 9001
0165267F20391424CE5AEA316A7C6372C0EEF198, 2001:41d0:800:1f70::, 9001
016F1C83981BF2BEE449A3EA760E1DE2380C01EB, 88.216.223.2, 25
