fingerprint, ipaddr, port
000C351F86033654A82D9FD6AC3B178F44E236BE, 5.196.8.113, 9001
000C351F86033654A82D9FD6AC3B178F44E236BE, 2001:41d0:404:300::dd2, 9001
000F3EB75342BE371F1D8D3FAE90890AEB5664EE, 204.137.14.106, 443
0011254CC8444369B20EF11156B8990438221A54, 178.218.144.18, 443
0011BD2485AD45D984EC4159C88FC066E5E3300E, 162.247.74.201, 443
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941, 95.111.230.178, 443
00246B4EA11AAABD9A2B01A31D314AFECFB46112, 23.129.64.140, 443
00246B4EA11AAABD9A2B01A31D314AFECFB46112, 2620:18c:0:192::140, 443
00283B5564E3072DCDDAB31D6EF622DD49BF524F, 195.15.242.99, 9001
00283B5564E3072DCDDAB31D6EF622DD49BF524F, 2001:1600:10:100::201, 9001
0036FA36AB435FD5D0F640626636867EBFB72C68, 185.220.101.33, 10133
0036FA36AB435FD5D0F640626636867EBFB72C68, 2a0b:f4c2:2::33, 10133
005ED97213F725867E422B8DC0443361BBB24E3C, 104.244.79.75, 443
005ED97213F725867E422B8DC0443361BBB24E3C, 2605:6400:30:fb10:d07b:edfd:2c84:bb4a, 443
00654113959763F653C92AFF078A7EC3A7BBD2D9, 174.128.250.165, 80
0077640E103A829BF8228D42F95818DAD1E9D84C, 179.43.159.78, 9001
00793AA77CFA00C77A1B716A702D03014B551399, 154.12.162.243, 9001
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142, 137.226.34.45, 9001
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142, 2a00:8a60:e012:a00::9001, 9001
00A39BF4B61C1702AB6095A7AA4EDB084BD6CFD1, 145.239.93.126, 443
00A39BF4B61C1702AB6095A7AA4EDB084BD6CFD1, 2001:41d0:601:1100::6648, 443
00B57BF614F7ED3051073B5D4526FF0B23AF217B, 147.28.87.56, 9001
00B57BF614F7ED3051073B5D4526FF0B23AF217B, 2001:1ba8:201:20::1:8455, 9001
00CC3A3D92C33E171BBDAEACC4601173BFA24150, 45.134.225.36, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 89.236.112.100, 443
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669, 2001:40e8:0:f090::100, 443
00D2CE3C2153EA09786F2105F26B138CF759424F, 107.155.81.178, 443
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92, 5.9.56.249, 4080
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92, 2a01:4f8:161:52cb::2, 4080
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4, 116.203.50.182, 8080
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4, 2a01:4f8:1c1c:b16b::1, 8080
00F0586A35B4FF15F3F1F77A8A6DAC9C6EDC4724, 173.52.85.105, 9004
00F1F247B391B84CB6C221720BCBFC0DFDB91117, 212.227.74.176, 9001
00FB85B65AC2F460CD46A3B6E5639821E3F52048, 192.42.116.217, 9002
00FB85B65AC2F460CD46A3B6E5639821E3F52048, 2001:67c:6ec:203:192:42:116:217, 9002
0111BA9B604669E636FFD5B503F382A4B7AD6E80, 185.195.71.244, 443
013ABAED8F4CDB677BE0B5212E4B2583B86035EE, 45.129.182.225, 443
013ABAED8F4CDB677BE0B5212E4B2583B86035EE, 2a03:4000:47:631:a437:b1ff:fe5c:74a2, 443
013AD81926572519EBCB7048E78462B5E9F1319D, 37.114.35.73, 9001
014326416058DCFD0965167026CBEF647409A000, 217.197.107.138, 443
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD, 78.142.18.219, 444
0157FA037FE7A27AA915B8B8920D82EBBCF2592A, 185.130.46.206, 9001
